"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"2008"	"2008"	"St. Bernard Parish, LA"	"22087"	283	28879	980.0	1091.6
	"2008"	"2008"	"St. Charles Parish, LA"	"22089"	356	52516	677.9	818.6
	"2008"	"2008"	"St. James Parish, LA"	"22093"	195	22095	882.6	936.1
	"2008"	"2008"	"St. John the Baptist Parish, LA"	"22095"	411	46811	878.0	1066.4
	"2008"	"2008"	"St. Tammany Parish, LA"	"22103"	1931	229252	842.3	872.0
"Total"	"2008"	"2008"			7365	833989	883.1	874.0
	"2009"	"2009"	"Jefferson Parish, LA"	"22051"	3912	431921	905.7	821.8
	"2009"	"2009"	"Plaquemines Parish, LA"	"22075"	178	22730	783.1	890.4
	"2009"	"2009"	"St. Bernard Parish, LA"	"22087"	276	32878	839.5	983.3
	"2009"	"2009"	"St. Charles Parish, LA"	"22089"	369	52719	699.9	869.6
	"2009"	"2009"	"St. James Parish, LA"	"22093"	199	22231	895.1	939.8
	"2009"	"2009"	"St. John the Baptist Parish, LA"	"22095"	383	46336	826.6	1005.5
	"2009"	"2009"	"St. Tammany Parish, LA"	"22103"	1883	231224	814.4	817.6
"Total"	"2009"	"2009"			7200	840039	857.1	837.8
	"2010"	"2010"	"Jefferson Parish, LA"	"22051"	3983	432552	920.8	831.4
	"2010"	"2010"	"Plaquemines Parish, LA"	"22075"	149	23042	646.6	728.8
	"2010"	"2010"	"St. Bernard Parish, LA"	"22087"	274	35897	763.3	969.2
	"2010"	"2010"	"St. Charles Parish, LA"	"22089"	385	52780	729.4	867.4
	"2010"	"2010"	"St. James Parish, LA"	"22093"	189	22102	855.1	868.0
	"2010"	"2010"	"St. John the Baptist Parish, LA"	"22095"	391	45924	851.4	986.0
	"2010"	"2010"	"St. Tammany Parish, LA"	"22103"	1893	233740	809.9	797.7
"Total"	"2010"	"2010"			7264	846037	858.6	832.3
	"2011"	"2011"	"Jefferson Parish, LA"	"22051"	4010	432640	926.9	825.9
	"2011"	"2011"	"Plaquemines Parish, LA"	"22075"	187	23628	791.4	859.6
	"2011"	"2011"	"St. Bernard Parish, LA"	"22087"	311	39558	786.2	988.9
	"2011"	"2011"	"St. Charles Parish, LA"	"22089"	402	52517	765.5	888.8
	"2011"	"2011"	"St. James Parish, LA"	"22093"	152	21784	697.8	683.3
	"2011"	"2011"	"St. John the Baptist Parish, LA"	"22095"	390	45221	862.4	964.5
	"2011"	"2011"	"St. Tammany Parish, LA"	"22103"	1942	236785	820.2	790.5
"Total"	"2011"	"2011"			7394	852133	867.7	826.8
	"2012"	"2012"	"Jefferson Parish, LA"	"22051"	4103	433676	946.1	822.0
	"2012"	"2012"	"Plaquemines Parish, LA"	"22075"	192	23921	802.6	853.3
	"2012"	"2012"	"St. Bernard Parish, LA"	"22087"	343	41635	823.8	1039.4
	"2012"	"2012"	"St. Charles Parish, LA"	"22089"	372	52681	706.1	804.9
	"2012"	"2012"	"St. James Parish, LA"	"22093"	213	21722	980.6	933.5
	"2012"	"2012"	"St. John the Baptist Parish, LA"	"22095"	382	44758	853.5	943.9
	"2012"	"2012"	"St. Tammany Parish, LA"	"22103"	2054	239453	857.8	808.9
"Total"	"2012"	"2012"			7659	857846	892.8	832.2
	"2013"	"2013"	"Jefferson Parish, LA"	"22051"	4114	434767	946.3	813.4
	"2013"	"2013"	"Plaquemines Parish, LA"	"22075"	181	23550	768.6	817.4
	"2013"	"2013"	"St. Bernard Parish, LA"	"22087"	302	43482	694.5	837.6
	"2013"	"2013"	"St. Charles Parish, LA"	"22089"	392	52617	745.0	828.6
	"2013"	"2013"	"St. James Parish, LA"	"22093"	192	21752	882.7	832.4
	"2013"	"2013"	"St. John the Baptist Parish, LA"	"22095"	373	43761	852.4	901.8
	"2013"	"2013"	"St. Tammany Parish, LA"	"22103"	2096	242333	864.9	793.9
"Total"	"2013"	"2013"			7650	862262	887.2	813.1
	"2014"	"2014"	"Jefferson Parish, LA"	"22051"	4136	435716	949.2	809.2
	"2014"	"2014"	"Plaquemines Parish, LA"	"22075"	180	23447	767.7	772.4
	"2014"	"2014"	"St. Bernard Parish, LA"	"22087"	329	44409	740.8	907.1
	"2014"	"2014"	"St. Charles Parish, LA"	"22089"	450	52745	853.2	928.7
	"2014"	"2014"	"St. James Parish, LA"	"22093"	209	21638	965.9	853.2
	"2014"	"2014"	"St. John the Baptist Parish, LA"	"22095"	408	43745	932.7	924.8
	"2014"	"2014"	"St. Tammany Parish, LA"	"22103"	2188	245829	890.0	804.8
"Total"	"2014"	"2014"			7900	867529	910.6	821.2
	"2015"	"2015"	"Jefferson Parish, LA"	"22051"	4043	436275	926.7	773.8
	"2015"	"2015"	"Plaquemines Parish, LA"	"22075"	176	23495	749.1	758.5
	"2015"	"2015"	"St. Bernard Parish, LA"	"22087"	358	45408	788.4	944.6
	"2015"	"2015"	"St. Charles Parish, LA"	"22089"	390	52812	738.5	788.9
	"2015"	"2015"	"St. James Parish, LA"	"22093"	177	21567	820.7	727.1
