"GEO2010","COUNTY","HFLG175","FAVINC1AD","MDFAMY1A","FAY0101A","FAY0151A","FAY0201A","FAY0251A","FAY0301A","FAY0351A","FAY0401A","FAY0451A","FAY0501A","FAY0601A","FAY0751A","FAY01001A","FAY01251A","FAY01501A","FAY02001A","FAY0M201A"
"22013970200","13","0","570","46842","32","26","34","11","35","51","29","53","24","46","36","67","4","58","4","60"
"22013970300","13","0","829","38984","148","52","34","3","43","119","22","59","78","56","29","93","18","22","27","26"
"22013970400","13","0","710","37917","57","42","53","56","33","80","44","9","35","53","25","134","53","17","19","0"
"22013970500","13","0","875","48831","108","26","65","47","33","46","45","49","33","64","116","107","66","28","15","27"
"22015010400","15","0","505","32212","94","34","71","27","15","28","51","30","35","23","9","41","0","47","0","0"
"22015010500","15","0","1353","60077","121","27","51","39","38","100","17","124","27","131","317","274","19","31","19","18"
"22015010601","15","0","1560","40144","110","140","196","54","101","89","87","145","84","143","232","104","20","55","0","0"
"22015010602","15","1","458","31284","85","52","45","7","21","47","18","10","49","43","44","37","0","0","0","0"
"22015010701","15","1","915","49495","53","11","44","36","98","101","55","22","47","184","75","133","56","0","0","0"
"22015010702","15","1","933","50524","31","19","29","28","113","50","36","96","58","50","125","139","85","70","0","4"
"22015010801","15","2","696","40900","50","97","68","0","63","49","12","25","25","98","76","75","8","0","43","7"
"22015010804","15","1","1815","62847","23","62","0","7","171","70","177","58","59","184","340","312","251","74","14","13"
"22015010805","15","0","452","41923","12","16","0","64","69","13","32","35","0","56","12","98","25","0","20","0"
"22015010806","15","0","1158","59231","34","24","9","58","12","12","76","95","84","179","209","241","90","11","0","24"
"22015010900","15","1","577","34961","10","7","76","57","84","55","29","69","35","8","24","61","50","12","0","0"
"22015011001","15","1","2007","70274","6","93","30","168","22","73","73","132","94","150","217","500","226","77","81","65"
"22015011002","15","1","1434","71250","37","0","62","11","126","105","58","45","11","115","160","194","135","161","130","84"
"22015011103","15","1","2005","79655","37","70","75","38","37","25","49","48","67","218","160","550","393","96","95","47"
"22015011105","15","1","1874","69100","54","67","60","7","67","58","82","67","142","159","231","315","184","261","100","20"
"22015011106","15","1","2036","52167","110","51","81","160","97","68","125","177","97","179","274","298","117","106","20","76"
"22015011107","15","1","496","46538","30","24","30","4","21","48","49","26","33","40","28","118","13","12","13","7"
"22015011108","15","0","3045","91696","18","65","18","17","128","14","40","91","118","300","308","541","530","244","391","222"
"22015011109","15","2","1813","91250","35","75","102","14","18","37","67","24","46","87","161","270","309","177","241","150"
"22015011110","15","1","2003","81050","12","45","132","75","10","29","49","77","29","133","339","316","279","194","81","203"
"22015011200","15","1","1610","47059","75","89","119","124","116","78","95","81","65","119","215","298","87","26","18","5"
"22015011300","15","2","466","15660","146","68","75","47","11","26","5","0","14","41","33","0","0","0","0","0"
"22017020500","17","0","702","29327","116","79","77","34","52","50","26","31","49","58","39","63","21","0","0","7"
"22017020600","17","0","184","18583","51","17","41","0","56","0","0","0","0","0","10","0","9","0","0","0"
"22017020700","17","2","241","19536","27","49","51","2","38","0","0","14","14","0","38","8","0","0","0","0"
"22017021000","17","0","338","42941","86","0","5","22","0","0","47","51","7","30","12","29","13","0","22","14"
"22017021100","17","1","347","32869","25","6","59","31","27","63","34","14","0","22","29","0","14","23","0","0"
"22017021200","17","1","747","42092","39","0","62","8","57","88","81","60","71","126","30","84","22","9","10","0"
"22017021300","17","1","567","36683","100","13","37","58","5","53","26","64","48","42","6","73","15","27","0","0"
"22017021400","17","3","470","48274","8","0","0","12","43","82","36","27","56","34","26","96","22","28","0","0"
"22017021500","17","1","550","46364","46","47","39","29","55","22","7","24","11","74","68","70","58","0","0","0"
"22017021600","17","1","927","80339","62","25","45","0","0","59","18","0","59","36","110","228","73","52","64","96"
"22017021700","17","2","244","22929","5","28","57","61","15","16","0","0","19","17","26","0","0","0","0","0"
"22017021800","17","1","349","15527","143","14","108","0","0","6","0","10","16","9","5","28","0","0","10","0"
"22017021900","17","1","331","27978","56","30","0","32","75","10","59","10","0","0","41","18","0","0","0","0"
"22017022000","17","1","338","31389","5","38","13","32","76","9","39","12","20","12","31","31","20","0","0","0"
"22017022100","17","1","1376","26810","116","126","159","182","232","88","19","63","14","83","105","96","93","0","0","0"
"22017022200","17","1","1319","36275","133","82","153","107","123","36","66","59","67","117","229","61","53","33","0","0"
"22017022300","17","1","616","19167","153","114","47","89","67","0","25","8","13","19","28","24","21","8","0","0"
"22017022400","17","1","881","24650","153","21","107","170","66","28","16","77","45","58","34","94","12","0","0","0"
"22017022500","17","1","1174","26721","211","158","94","71","114","181","66","126","15","16","48","56","6","0","12","0"
"22017022600","17","0","919","107827","13","13","0","8","23","10","59","38","22","54","71","99","138","64","80","227"
"22017022700","17","1","545","74438","0","0","17","19","12","0","12","52","5","103","57","109","69","49","25","16"
"22017022800","17","1","1143","80032","6","0","39","0","24","31","41","73","114","66","145","265","118","78","110","33"
"22017022900","17","1","1171","57404","0","0","80","45","80","76","13","55","89","249","69","226","70","43","35","41"
"22017023000","17","2","1256","70833","11","0","0","28","44","11","23","0","26","158","398","257","115","57","57","71"
"22017023100","17","2","408","144667","13","0","25","0","0","0","0","22","0","0","16","23","64","43","60","142"
"22017023200","17","0","265","19698","20","10","110","15","26","19","0","0","0","0","34","15","0","16","0","0"
"22017023300","17","1","418","18160","98","85","65","34","16","31","19","9","41","6","6","8","0","0","0","0"
"22017023400","17","1","1753","31355","193","78","275","135","118","199","136","132","103","171","130","83","0","0","0","0"
"22017023500","17","0","880","33226","60","120","67","129","44","42","109","90","54","46","72","20","0","0","27","0"
"22017023600","17","1","709","35341","81","65","35","83","52","37","28","34","73","63","43","47","45","10","13","0"
"22017023700","17","2","1442","31285","120","271","85","140","68","113","165","93","103","121","21","67","75","0","0","0"
"22017023800","17","1","1632","43472","91","105","84","104","66","99","214","64","53","129","75","130","124","18","130","146"
