"","LE_x","GEOID","city","ACS.majBlack"
"100",73.8,"22051027501","New Orleans-Metairie, LA",TRUE
"101",73.1,"22051027502","New Orleans-Metairie, LA",TRUE
"102",73,"22051027601","New Orleans-Metairie, LA",FALSE
"103",72.6,"22051027602","New Orleans-Metairie, LA",TRUE
"104",73.1,"22051027701","New Orleans-Metairie, LA",TRUE
"105",71.9,"22051027703","New Orleans-Metairie, LA",TRUE
"106",72.3,"22051027803","New Orleans-Metairie, LA",TRUE
"107",77.7,"22051027804","New Orleans-Metairie, LA",FALSE
"108",78.2,"22051027805","New Orleans-Metairie, LA",TRUE
"109",78.5,"22051027806","New Orleans-Metairie, LA",FALSE
"110",79.3,"22051027807","New Orleans-Metairie, LA",FALSE
"111",76.9,"22051027809","New Orleans-Metairie, LA",FALSE
"112",75.5,"22051027811","New Orleans-Metairie, LA",TRUE
"113",70.8,"22051027812","New Orleans-Metairie, LA",TRUE
"114",75.3,"22051027901","New Orleans-Metairie, LA",FALSE
"115",73.8,"22051027902","New Orleans-Metairie, LA",FALSE
"116",76,"22051028000","New Orleans-Metairie, LA",FALSE
"117",71.8,"22051028100","New Orleans-Metairie, LA",TRUE
"118",72.2,"22051028200","New Orleans-Metairie, LA",FALSE
"119",78.4,"22071000100","New Orleans-Metairie, LA",FALSE
"120",73.5,"22071000200","New Orleans-Metairie, LA",TRUE
"121",71.3,"22071000300","New Orleans-Metairie, LA",TRUE
"122",75.6,"22071000400","New Orleans-Metairie, LA",TRUE
"123",71.3,"22071000601","New Orleans-Metairie, LA",TRUE
"124",77.5,"22071000602","New Orleans-Metairie, LA",TRUE
"125",72.9,"22071000603","New Orleans-Metairie, LA",TRUE
"126",73.2,"22071000604","New Orleans-Metairie, LA",TRUE
"127",70.3,"22071000605","New Orleans-Metairie, LA",TRUE
"128",75.8,"22071000606","New Orleans-Metairie, LA",TRUE
"129",80.8,"22071000607","New Orleans-Metairie, LA",TRUE
"130",74.7,"22071000611","New Orleans-Metairie, LA",TRUE
"131",80.8,"22071000612","New Orleans-Metairie, LA",FALSE
"132",72.9,"22071000613","New Orleans-Metairie, LA",TRUE
"133",79.3,"22071000615","New Orleans-Metairie, LA",TRUE
"134",75.3,"22071000616","New Orleans-Metairie, LA",TRUE
"135",73.7,"22071000617","New Orleans-Metairie, LA",TRUE
"136",82.2,"22071000618","New Orleans-Metairie, LA",TRUE
"137",73.1,"22071000702","New Orleans-Metairie, LA",TRUE
"138",71.7,"22071000800","New Orleans-Metairie, LA",TRUE
"139",66.6,"22071000904","New Orleans-Metairie, LA",TRUE
"140",72.1,"22071001100","New Orleans-Metairie, LA",FALSE
"141",71.4,"22071001200","New Orleans-Metairie, LA",FALSE
"142",68.1,"22071001301","New Orleans-Metairie, LA",TRUE
"143",62.6,"22071001302","New Orleans-Metairie, LA",TRUE
"144",71.3,"22071001401","New Orleans-Metairie, LA",TRUE
"145",68.7,"22071001402","New Orleans-Metairie, LA",TRUE
"146",72.5,"22071001500","New Orleans-Metairie, LA",TRUE
"147",78.4,"22071001701","New Orleans-Metairie, LA",TRUE
"148",75.5,"22071001702","New Orleans-Metairie, LA",TRUE
"149",71.4,"22071001720","New Orleans-Metairie, LA",TRUE
"150",73.4,"22071001722","New Orleans-Metairie, LA",TRUE
"151",78.1,"22071001723","New Orleans-Metairie, LA",TRUE
"152",68.8,"22071001724","New Orleans-Metairie, LA",TRUE
"153",77.2,"22071001725","New Orleans-Metairie, LA",TRUE
"154",72.7,"22071001735","New Orleans-Metairie, LA",TRUE
"155",75.3,"22071001737","New Orleans-Metairie, LA",TRUE
"156",75.7,"22071001739","New Orleans-Metairie, LA",TRUE
"157",76.6,"22071001740","New Orleans-Metairie, LA",TRUE
"158",72,"22071001741","New Orleans-Metairie, LA",TRUE
"159",72.1,"22071001743","New Orleans-Metairie, LA",TRUE
"160",71.7,"22071001744","New Orleans-Metairie, LA",TRUE
"161",73.8,"22071001745","New Orleans-Metairie, LA",TRUE
"162",69.5,"22071001746","New Orleans-Metairie, LA",TRUE
"163",82.4,"22071001747","New Orleans-Metairie, LA",TRUE
"164",76.8,"22071001748","New Orleans-Metairie, LA",TRUE
"165",78.4,"22071001749","New Orleans-Metairie, LA",FALSE
"166",75.9,"22071001750","New Orleans-Metairie, LA",FALSE
"167",74.1,"22071001751","New Orleans-Metairie, LA",TRUE
"168",72.9,"22071001900","New Orleans-Metairie, LA",TRUE
"169",65.3,"22071002000","New Orleans-Metairie, LA",TRUE
"170",71.7,"22071002200","New Orleans-Metairie, LA",TRUE
"171",70.8,"22071002300","New Orleans-Metairie, LA",TRUE
"172",78.5,"22071002401","New Orleans-Metairie, LA",TRUE
"173",72.5,"22071002402","New Orleans-Metairie, LA",TRUE
"174",75.5,"22071002501","New Orleans-Metairie, LA",TRUE
"175",73.1,"22071002502","New Orleans-Metairie, LA",TRUE
"176",78.1,"22071002503","New Orleans-Metairie, LA",TRUE
"177",76.4,"22071002504","New Orleans-Metairie, LA",TRUE
"178",80.1,"22071002600","New Orleans-Metairie, LA",FALSE
"179",65.6,"22071002700","New Orleans-Metairie, LA",TRUE
"180",68.3,"22071002800","New Orleans-Metairie, LA",TRUE
"181",64.8,"22071002900","New Orleans-Metairie, LA",TRUE
"182",68.4,"22071003000","New Orleans-Metairie, LA",TRUE
"183",68.5,"22071003100","New Orleans-Metairie, LA",TRUE
"184",73.6,"22071003301","New Orleans-Metairie, LA",FALSE
"185",79.9,"22071003302","New Orleans-Metairie, LA",TRUE
"186",75.4,"22071003303","New Orleans-Metairie, LA",TRUE
"187",73.5,"22071003308","New Orleans-Metairie, LA",TRUE
"188",73.5,"22071003400","New Orleans-Metairie, LA",TRUE
"189",68.9,"22071003500","New Orleans-Metairie, LA",TRUE
"190",70.9,"22071003600","New Orleans-Metairie, LA",TRUE
"191",81.9,"22071003702","New Orleans-Metairie, LA",TRUE
"192",78.5,"22071003800","New Orleans-Metairie, LA",FALSE
"193",74.5,"22071003900","New Orleans-Metairie, LA",TRUE
"194",77,"22071004000","New Orleans-Metairie, LA",TRUE
"195",80.1,"22071004100","New Orleans-Metairie, LA",FALSE
"196",66.4,"22071004401","New Orleans-Metairie, LA",TRUE
"197",72.9,"22071004500","New Orleans-Metairie, LA",TRUE
"198",79.9,"22071004600","New Orleans-Metairie, LA",FALSE
"199",71.8,"22071004900","New Orleans-Metairie, LA",TRUE
"200",78.8,"22071005400","New Orleans-Metairie, LA",FALSE
"201",84.2,"22071005500","New Orleans-Metairie, LA",FALSE
"202",83.2,"22071005601","New Orleans-Metairie, LA",FALSE
"203",88.1,"22071005602","New Orleans-Metairie, LA",FALSE
"204",79.2,"22071005603","New Orleans-Metairie, LA",FALSE
"205",80.9,"22071005604","New Orleans-Metairie, LA",FALSE
"206",75.9,"22071006300","New Orleans-Metairie, LA",TRUE
"207",77,"22071006400","New Orleans-Metairie, LA",FALSE
"208",77.6,"22071006500","New Orleans-Metairie, LA",FALSE
"209",67.5,"22071006900","New Orleans-Metairie, LA",TRUE
"210",74.2,"22071007101","New Orleans-Metairie, LA",TRUE
"211",71.7,"22071007200","New Orleans-Metairie, LA",TRUE
"212",72.8,"22071007501","New Orleans-Metairie, LA",TRUE
"213",72.1,"22071007502","New Orleans-Metairie, LA",TRUE
"214",80.4,"22071007604","New Orleans-Metairie, LA",FALSE
"215",77.8,"22071007605","New Orleans-Metairie, LA",TRUE
"216",82.7,"22071007606","New Orleans-Metairie, LA",FALSE
"217",80.3,"22071007700","New Orleans-Metairie, LA",FALSE
"218",75.5,"22071008200","New Orleans-Metairie, LA",FALSE
"219",79,"22071008300","New Orleans-Metairie, LA",FALSE
"220",78,"22071008400","New Orleans-Metairie, LA",FALSE
"221",72.9,"22071008600","New Orleans-Metairie, LA",TRUE
"222",75.5,"22071008800","New Orleans-Metairie, LA",FALSE
"223",80.7,"22071009000","New Orleans-Metairie, LA",FALSE
"224",73.8,"22071009100","New Orleans-Metairie, LA",FALSE
"225",72.1,"22071009200","New Orleans-Metairie, LA",TRUE
"226",62.3,"22071009400","New Orleans-Metairie, LA",TRUE
"227",74.4,"22071009600","New Orleans-Metairie, LA",FALSE
"228",76.1,"22071009700","New Orleans-Metairie, LA",FALSE
"229",75.7,"22071009900","New Orleans-Metairie, LA",FALSE
"230",74.3,"22071010000","New Orleans-Metairie, LA",TRUE
"231",71.7,"22071010200","New Orleans-Metairie, LA",TRUE
"232",75.7,"22071010300","New Orleans-Metairie, LA",TRUE
"233",75.3,"22071010600","New Orleans-Metairie, LA",FALSE
"234",82.1,"22071010700","New Orleans-Metairie, LA",FALSE
"235",81.3,"22071010800","New Orleans-Metairie, LA",FALSE
"236",83.7,"22071010900","New Orleans-Metairie, LA",FALSE
"237",75.4,"22071011100","New Orleans-Metairie, LA",TRUE
"238",79.5,"22071011200","New Orleans-Metairie, LA",FALSE
"239",81,"22071011400","New Orleans-Metairie, LA",FALSE
"240",81.4,"22071011500","New Orleans-Metairie, LA",FALSE
"241",78.7,"22071011600","New Orleans-Metairie, LA",FALSE
"242",80.7,"22071011700","New Orleans-Metairie, LA",FALSE
"243",86.8,"22071012000","New Orleans-Metairie, LA",FALSE
"244",82.8,"22071012101","New Orleans-Metairie, LA",FALSE
"245",80.5,"22071012200","New Orleans-Metairie, LA",FALSE
"246",74.1,"22071012300","New Orleans-Metairie, LA",FALSE
"247",80.1,"22071012400","New Orleans-Metairie, LA",FALSE
"248",77.3,"22071012500","New Orleans-Metairie, LA",FALSE
"249",79.9,"22071012600","New Orleans-Metairie, LA",FALSE
"250",78.2,"22071012700","New Orleans-Metairie, LA",FALSE
"251",74.1,"22071012800","New Orleans-Metairie, LA",FALSE
"252",75.4,"22071012900","New Orleans-Metairie, LA",FALSE
"253",77.2,"22071013000","New Orleans-Metairie, LA",TRUE
"254",73.5,"22071013100","New Orleans-Metairie, LA",TRUE
"255",85.1,"22071013301","New Orleans-Metairie, LA",FALSE
"256",80.4,"22071013302","New Orleans-Metairie, LA",FALSE
"257",78.8,"22071013400","New Orleans-Metairie, LA",FALSE
"258",68.5,"22071013600","New Orleans-Metairie, LA",FALSE
"259",66,"22071013700","New Orleans-Metairie, LA",TRUE
"260",69.9,"22071013800","New Orleans-Metairie, LA",TRUE
"261",81.2,"22071013900","New Orleans-Metairie, LA",FALSE
"262",72.1,"22071014000","New Orleans-Metairie, LA",TRUE
"263",76.7,"22071014200","New Orleans-Metairie, LA",FALSE
"264",69.5,"22071014300","New Orleans-Metairie, LA",TRUE
"265",77.1,"22071014400","New Orleans-Metairie, LA",FALSE
"266",75.5,"22075050100","New Orleans-Metairie, LA",TRUE
"267",78.4,"22075050200","New Orleans-Metairie, LA",FALSE
"268",77.2,"22075050300","New Orleans-Metairie, LA",FALSE
"269",71.5,"22075050500","New Orleans-Metairie, LA",TRUE
"270",71.1,"22075050600","New Orleans-Metairie, LA",FALSE
"271",72.2,"22075050800","New Orleans-Metairie, LA",FALSE
