"","GEOID","pov.pp.change80_90","ACS.pctBlack","LE"
"1","22071000100",0.187786328957728,0.147284122562674,78.4
"2","22071000200",0.150504719495169,0.83808095952024,73.5
"3","22071000300",-0.0471038054305865,0.886986301369863,71.3
"4","22071000400",0.144197997876036,0.831163708086785,75.6
"5","22071000601",0.0876273012142578,0.990532544378698,71.3
"6","22071000602",0.0717016611458307,0.870407481629927,77.5
"7","22071000603",0.0621001167139956,0.871591908531222,72.9
"8","22071000604",0.0245192921802872,0.804494872354353,73.2
"9","22071000605",0.137857634067725,0.675221651889874,70.3
"10","22071000606",0.0469496518054015,0.539596757430888,75.8
"11","22071000607",0.0376509977050396,0.520408163265306,80.8
"12","22071000611",0.0119143550840771,0.818084192439863,74.7
"13","22071000612",-0.0580708180708181,0.332601536772777,80.8
"14","22071000613",0.243539237430188,0.877559294546929,72.9
"15","22071000615",0.0338593987434474,0.67705112960761,79.3
"16","22071000616",0.0333865230181693,0.5465495608532,75.3
"17","22071000617",0.0471189440840996,0.832681973619932,73.7
"18","22071000618",0.0476934358564833,0.557594783868631,82.2
"19","22071000701",-0.0289140106728663,0.947916666666667,NA
"20","22071000702",-0.0240750145530245,0.814975247524752,73.1
"21","22071000800",0.150910311425632,0.862957937584803,71.7
"22","22071000901",0.078601273785315,0.902284263959391,NA
"23","22071000902",-0.0493043703433421,1,NA
"24","22071000903",0.0991849526330849,0.990783410138249,NA
"25","22071000904",0.149728100261007,0.914893617021277,66.6
"26","22071001100",0.186290060945286,0.427912341407151,72.1
"27","22071001200",0.168613854192597,0.13755980861244,71.4
"28","22071001301",0.168523950618749,0.747440273037543,68.1
"29","22071001302",-0.034844093741355,0.90587044534413,62.6
"30","22071001401",0.160396591493162,0.936006168080185,71.3
"31","22071001402",0.0606241695584308,0.876106194690266,68.7
"32","22071001500",0.128599364407662,0.805194805194805,72.5
"33","22071001600",0.172659580112843,NA,NA
"34","22071001701",0.0217822873193696,0.936776061776062,78.4
"35","22071001702",0.0288847873964295,0.759354838709677,75.5
"36","22071001720",0.113721061832284,0.91748031496063,71.4
"37","22071001722",0.157087730799013,0.928043840838694,73.4
"38","22071001723",0.0772628547721893,0.938333001790332,78.1
"39","22071001724",0.0713122143320312,0.914767331433998,68.8
"40","22071001725",0.0723625440039578,0.918625146886016,77.2
"41","22071001730",-0.0232087032637239,0.906438631790744,NA
"42","22071001734",-0.0813287379346236,0,NA
"43","22071001735",0.194052585657262,0.930277913213067,72.7
"44","22071001736",0.194175821142595,0.955744300402324,NA
"45","22071001737",0.089902136010794,0.944357611753673,75.3
"46","22071001739",0.0611680958144139,0.988193624557261,75.7
"47","22071001740",0.0608200677978416,0.98269600512711,76.6
"48","22071001741",0.113111964119162,0.596510973550929,72
"49","22071001743",0.134329826645978,0.962947543713572,72.1
"50","22071001744",0.134540187385326,0.977598385469223,71.7
"51","22071001745",0.090057710237241,0.937163883385225,73.8
"52","22071001746",0.089536910402414,0.980905861456483,69.5
"53","22071001747",0.0105402303338437,0.749174917491749,82.4
"54","22071001748",0.0100541802009326,0.86130940240669,76.8
"55","22071001749",0.113212913150724,0.358548168249661,78.4
"56","22071001750",0.112914739940775,0.290177314945117,75.9
"57","22071001751",0.362741009271438,0.605514316012725,74.1
"58","22071001800",0.0972262857653906,0.0721288515406162,NA
"59","22071001900",0.0821539585255481,0.636666666666667,72.9
"60","22071002000",0.191544890220043,0.853503184713376,65.3
"61","22071002100",0.0584703075640287,0.973039215686274,NA
"62","22071002200",0.14433373286317,0.908352668213457,71.7
"63","22071002300",-0.0332398321812222,0.940265486725664,70.8
"64","22071002401",-0.00819394697384809,0.809950248756219,78.5
"65","22071002402",0.0726182825708208,0.890873015873016,72.5
"66","22071002501",0.0048102727912378,0.870149253731343,75.5
"67","22071002502",0.0738214695589401,0.934359438660027,73.1
"68","22071002503",0.0283722109533468,0.625,78.1
"69","22071002504",-0.013524210700307,0.712233009708738,76.4
"70","22071002600",-0.0129985811086809,0.0769794721407625,80.1
"71","22071002700",0.144647547779798,0.814556962025316,65.6
"72","22071002800",0.0844438775071448,0.968457943925234,68.3
"73","22071002900",0.156245361204558,0.923197492163009,64.8
"74","22071003000",0.00514795585912309,0.898272552783109,68.4
"75","22071003100",0.154691872822496,0.889452332657201,68.5
"76","22071003301",-0.0305528338860416,0.469116080937167,73.6
"77","22071003302",-0.0649931932345922,0.872266973532796,79.9
"78","22071003303",-0.039950113982977,0.661428571428571,75.4
"79","22071003304",0.0458870423428313,0.880481927710843,NA
"80","22071003307",0.0188858433881952,0.962151394422311,NA
"81","22071003308",-0.00476795490771328,0.900685871056241,73.5
"82","22071003400",0.116421757324456,0.684518828451883,73.5
"83","22071003500",0.21277165745351,0.849199663016007,68.9
"84","22071003600",0.19022015333383,0.817217716781036,70.9
"85","22071003701",0.034747487178065,0.7419945105215,NA
"86","22071003702",0.0524113166991419,0.651024651024651,81.9
"87","22071003800",0.0910409317976601,0.0194401244167963,78.5
"88","22071003900",0.131795238178217,0.501515151515151,74.5
"89","22071004000",0.128484386337054,0.666502705361535,77
"90","22071004100",0.0951784292686303,0.129180327868852,80.1
"91","22071004401",0.171086899879594,0.814995925020375,66.4
"92","22071004402",0.209902169823153,1,NA
"93","22071004500",0.20406923573072,0.60627802690583,72.9
"94","22071004600",0.0107183555870907,0.0605106680657573,79.9
"95","22071004800",0.156697296494663,0.997001499250375,NA
"96","22071004900",0.143566548726933,0.636307692307692,71.8
"97","22071005000",0.0652871635196325,0.343456254519161,NA
"98","22071005400",0.122576028943541,0.175661375661376,78.8
