"","LE_x","GEOID","city","ACS.majBlack","LE","city.fac"
"89",78.8,1073010701,"Birmingham",FALSE,78.8,"Birmingham"
"90",79.6,1073010702,"Birmingham",FALSE,79.6,"Birmingham"
"91",81.2,1073010703,"Birmingham",FALSE,81.2,"Birmingham"
"92",80.3,1073010705,"Birmingham",FALSE,80.3,"Birmingham"
"93",79.1,1073010706,"Birmingham",FALSE,79.1,"Birmingham"
"94",82.3,1073010801,"Birmingham",FALSE,82.3,"Birmingham"
"95",83,1073010802,"Birmingham",FALSE,83,"Birmingham"
"96",78.4,1073010803,"Birmingham",FALSE,78.4,"Birmingham"
"97",80.3,1073010804,"Birmingham",FALSE,80.3,"Birmingham"
"98",82.1,1073010805,"Birmingham",FALSE,82.1,"Birmingham"
"99",69.3,1073010900,"Birmingham",TRUE,69.3,"Birmingham"
"100",74.9,1073011001,"Birmingham",FALSE,74.9,"Birmingham"
"101",71.2,1073011002,"Birmingham",TRUE,71.2,"Birmingham"
"102",76.1,1073011104,"Birmingham",TRUE,76.1,"Birmingham"
"103",78.8,1073011107,"Birmingham",FALSE,78.8,"Birmingham"
"104",79.4,1073011108,"Birmingham",FALSE,79.4,"Birmingham"
"105",77.6,1073011110,"Birmingham",FALSE,77.6,"Birmingham"
"106",79.2,1073011111,"Birmingham",FALSE,79.2,"Birmingham"
"107",73.3,1073011205,"Birmingham",FALSE,73.3,"Birmingham"
"108",77.8,1073011206,"Birmingham",FALSE,77.8,"Birmingham"
"109",75.9,1073011207,"Birmingham",TRUE,75.9,"Birmingham"
"110",75.4,1073011208,"Birmingham",FALSE,75.4,"Birmingham"
"111",71.7,1073011209,"Birmingham",TRUE,71.7,"Birmingham"
"112",73.5,1073011210,"Birmingham",TRUE,73.5,"Birmingham"
"113",74.1,1073011301,"Birmingham",FALSE,74.1,"Birmingham"
"114",74.3,1073011302,"Birmingham",FALSE,74.3,"Birmingham"
"115",73.2,1073011400,"Birmingham",FALSE,73.2,"Birmingham"
"116",73.9,1073011500,"Birmingham",FALSE,73.9,"Birmingham"
"117",72.5,1073011600,"Birmingham",FALSE,72.5,"Birmingham"
"118",79.4,1073011703,"Birmingham",FALSE,79.4,"Birmingham"
"119",76,1073011704,"Birmingham",FALSE,76,"Birmingham"
"120",74.4,1073011705,"Birmingham",FALSE,74.4,"Birmingham"
"121",72.4,1073011706,"Birmingham",FALSE,72.4,"Birmingham"
"122",73.6,1073011802,"Birmingham",TRUE,73.6,"Birmingham"
"123",72.6,1073011803,"Birmingham",TRUE,72.6,"Birmingham"
"124",75,1073011804,"Birmingham",TRUE,75,"Birmingham"
"125",69.4,1073011901,"Birmingham",FALSE,69.4,"Birmingham"
"126",75.1,1073011904,"Birmingham",TRUE,75.1,"Birmingham"
"127",74.2,1073012001,"Birmingham",TRUE,74.2,"Birmingham"
"128",76.3,1073012002,"Birmingham",FALSE,76.3,"Birmingham"
"129",67.1,1073012103,"Birmingham",FALSE,67.1,"Birmingham"
