"","GEOID","kfr_pooled_pooled_p25","ACS.pctBlack","LE"
"108","22071006900",0.2648263,0.983164983164983,67.5
"109","22071007000",0.30385628,0.753811405985319,NA
"110","22071007101",0.33692911,0.712489522212909,74.2
"111","22071007200",0.30226061,0.822127659574468,71.7
"112","22071007501",0.32668284,0.909906542056075,72.8
"113","22071007502",0.30560869,0.864356435643564,72.1
"114","22071007604",0.43344703,0.0319148936170213,80.4
"115","22071007605",0.26210684,0.833229231730169,77.8
"116","22071007606",0.49029008,0.114130434782609,82.7
"117","22071007700",0.3206749,0.111205432937182,80.3
"118","22071007800",0.32110968,0.0819672131147541,NA
"119","22071008200",0.34435952,0.138110749185668,75.5
"120","22071008300",0.31602722,0.138218151540383,79
"121","22071008400",0.31200254,0.470950704225352,78
"122","22071008500",0.24439198,0.84009009009009,NA
"123","22071008600",0.31310385,0.813692480359147,72.9
"124","22071008800",0.31675482,0.215065502183406,75.5
"125","22071009000",0.47730416,0.0180467091295117,80.7
"126","22071009100",0.31260201,0.409509202453988,73.8
"127","22071009200",0.27924368,0.953114065780266,72.1
"128","22071009400",0.3043952,0.86,62.3
"129","22071009600",0.32719424,0.297227595099936,74.4
"130","22071009700",0.31016257,0.421741977734119,76.1
"131","22071009900",0.39314514,0.140077821011673,75.7
"132","22071010000",0.29279327,0.734401831711505,74.3
"133","22071010100",0.35155752,0.211855670103093,NA
"134","22071010200",0.30456638,0.775013234515617,71.7
"135","22071010300",0.30696374,0.825083510476769,75.7
"136","22071010600",0.30779374,0.29803328290469,75.3
"137","22071010700",0.36521655,0.0995260663507109,82.1
"138","22071010800",0.40538892,0.0578279266572638,81.3
"139","22071010900",0.35397458,0.405902004454343,83.7
"140","22071011100",0.33145064,0.605196451204056,75.4
"141","22071011200",0.3953785,0.283007334963325,79.5
"142","22071011400",0.45220125,0.018555667001003,81
"143","22071011500",0.50569808,0.0646976090014065,81.4
"144","22071011600",0.50696599,0.0352393617021277,78.7
"145","22071011700",0.5226475,0.00422237860661506,80.7
"146","22071011900",0.46271637,0.0672717565403097,NA
"147","22071012000",0.45970199,0.0444002650762094,86.8
"148","22071012101",0.43226114,0.0550821667681071,82.8
"149","22071012102",0.69757873,0.11235692595188,NA
"150","22071012200",0.37843123,0.0649957519116398,80.5
"151","22071012300",0.32298261,0.352738036507153,74.1
"152","22071012400",0.33191898,0.279190751445087,80.1
"153","22071012500",0.30618337,0.238379022646007,77.3
"154","22071012600",0.38863194,0.0636805180787911,79.9
"155","22071012700",0.35506129,0.233532934131737,78.2
"156","22071012800",0.35761803,0.183196721311475,74.1
"157","22071012900",0.35039446,0.315891472868217,75.4
"158","22071013000",0.32201445,0.515185601799775,77.2
