"","quintile","var","val"
"1","1","weightedAvgRent",862.098860378941
"2","2","weightedAvgRent",825.034492273731
"3","3","weightedAvgRent",968.97577560561
"4","4","weightedAvgRent",1014.28063100463
"5","5","weightedAvgRent",1272.56427938134
"6","1","medAff",543.594696969697
"7","2","medAff",626.467307692308
"8","3","medAff",961.840517241379
"9","4","medAff",1184.91693548387
"10","5","medAff",2099.30185185185
